,usaf,name,state,lat,lon,min_temp,mean_temp,max_temp,total_snow,total_precipitation,tornado_funnel_cloud,hail,severity_rating
119,703891,ELIM AIRPORT,AK,64.617,-162.267,-20.0,30.882985074626863,77.0,0.0,15.97,0.0,0.0,0.0
851,702720,ELMENDORF AFB AIRPORT,AK,61.253,-149.794,-18.9,38.27287671232877,79.7,3654.6000000000004,1038.72,0.0,0.0,0.0
807,702084,EMMONAK,AK,62.785,-164.491,35.1,51.18,73.0,0.0,199.98,0.0,0.0,0.0
2415,702610,FAIRBANKS INTERNATIONAL,AK,64.804,-147.876,-47.0,29.657808219178083,86.0,4368.2,10.440000000000001,0.0,0.0,0.0
2167,700638,FALSE PASS,AK,54.85,-163.417,10.0,41.44595588235295,70.0,0.0,2218.41,0.0,0.0,0.0
1829,994720,FLAT ISLAND LIGHT,AK,59.33,-151.99,10.4,42.07205479452055,66.2,0.0,0.0,0.0,0.0,0.0
1884,701940,FORT YUKON,AK,66.567,-145.267,-53.0,23.50520547945206,84.9,0.0,2407.6999999999994,0.0,0.0,0.0
783,700635,GALBRAITH LAKE AIRPORT,AK,68.479,-149.49,-47.2,12.136585365853659,68.0,0.0,1599.84,0.0,0.0,0.0
842,702220,GALENA AIRPORT,AK,64.737,-156.934,-45.9,26.529392971246008,82.0,0.0,15.92,0.0,0.0,0.0
2008,702040,GAMBELL (AWOS)               ,AK,63.767,-171.733,-5.1,30.590909090909086,55.9,0.0,8000.059999999999,0.0,0.0,0.0
2432,702710,GULKANA AIRPORT,AK,62.159,-145.459,-47.9,30.076438356164385,84.0,0.0,24.46,0.0,0.0,0.0
2062,703670,GUSTAVUS,AK,58.425,-135.707,-15.0,42.34364640883978,80.1,0.0,284.96000000000004,0.0,0.0,0.0
2098,703626,HAINES,AK,59.243,-135.509,-6.0,42.74820936639118,88.0,0.0,56.29,0.0,0.0,0.0
856,703051,HOLY CROSS AIRPORT,AK,62.183,-159.767,-36.0,36.72200772200773,82.9,0.0,221.83999999999997,0.0,0.0,0.0
2175,703410,HOMER AIRPORT,AK,59.642,-151.491,-2.0,41.1241095890411,73.0,0.0,26.219999999999995,0.0,0.0,0.0
147,997176,HOMER SPIT,AK,59.602,-151.417,9.3,42.48849315068494,64.4,0.0,0.0,0.0,0.0,0.0
1511,702607,HOONAH SEAPLANE BASE,AK,58.096,-135.409,8.1,36.00000000000001,63.0,0.0,2234.0599999999995,0.0,0.0,0.0
841,702186,HOOPER BAY AIRPORT,AK,61.524,-166.147,-22.0,30.83062200956938,68.0,0.0,10199.22,0.0,0.0,0.0
822,703655,HUSLIA AIRPORT,AK,65.698,-156.351,-51.0,27.864931506849317,82.9,0.0,20.78,0.0,0.0,0.0
1512,703884,HYDABURG SEAPLANE BASE,AK,55.206,-132.828,9.0,46.23539325842695,75.9,0.0,3157.64,0.0,0.0,0.0
148,997177,ICY BAY,AK,59.923,-141.359,40.1,46.86,54.9,0.0,0.0,0.0,0.0,0.0
859,703061,IGIUGIG AIRPORT,AK,59.324,-155.902,-23.1,35.95240963855422,81.0,0.0,236.10000000000002,0.0,0.0,0.0
2174,703400,ILIAMNA AIRPORT,AK,59.749,-154.909,-29.9,37.37013698630137,80.1,1598.6999999999998,34.12,0.0,0.0,0.0
1723,701730,INDIAN MOUNTAIN LRRS ARPT,AK,66.0,-153.7,-33.3,27.580285714285715,79.3,234.2,24429.919999999995,0.0,0.0,0.0
376,998261,JUNEAU,AK,58.298,-134.412,4.5,42.96507042253521,82.9,0.0,0.0,0.0,0.0,0.0
2177,703810,JUNEAU INTERNATIONAL,AK,58.357,-134.564,-8.0,43.29534246575343,84.9,431.30000000000007,88.57999999999998,0.0,0.0,0.0
869,703855,KAKE AIRPORT,AK,56.967,-133.9,6.1,44.2185393258427,79.0,0.0,307.41999999999996,0.0,0.0,0.0
781,703052,KALSKAG AIRPORT,AK,61.536,-160.341,-24.0,33.80947368421052,81.0,0.0,37.13999999999999,0.0,0.0,0.0
838,702006,KALTAG AIRPORT,AK,64.327,-158.742,-43.1,26.172077922077925,88.0,0.0,30.480000000000004,0.0,0.0,0.0
2172,702590,KENAI MUNICIPAL AIRPORT,AK,60.58,-151.239,-31.0,36.68630136986302,78.1,0.0,13.45,0.0,0.0,0.0
374,998258,KETCHIKAN,AK,55.333,-131.625,10.6,46.30842696629213,76.5,0.0,0.0,0.0,0.0,0.0
2179,703950,KETCHIKAN INTL AIRPORT,AK,55.36,-131.721,3.0,46.25780821917809,78.1,0.0,155.32999999999998,0.0,0.0,0.0
379,998254,KING COVE,AK,55.067,-162.333,10.9,41.5563025210084,60.8,0.0,0.0,0.0,0.0,0.0
1697,703059,KING COVE,AK,55.17,-162.27,3.9,40.613850415512466,64.9,0.0,14098.999999999998,0.0,0.0,0.0
2493,703260,KING SALMON AIRPORT,AK,58.683,-156.656,-22.0,37.70934065934066,80.1,0.0,132.04999999999998,0.0,0.0,0.0
833,701486,KIVALINA AIRPORT,AK,67.732,-164.548,-38.9,25.314801444043322,70.0,0.0,416.36000000000007,0.0,0.0,0.0
2065,703894,KLAWOCK AIRPORT,AK,55.58,-133.075,3.9,45.70165289256199,78.1,0.0,971.1399999999999,0.0,0.0,0.0
2434,703500,KODIAK AIRPORT,AK,57.751,-152.486,12.0,44.02164383561644,77.0,0.0,81.69,0.0,0.0,0.0
334,998427,KODIAK ISLAND,AK,57.73,-152.514,11.5,43.30788732394367,73.4,0.0,0.0,0.0,0.0,0.0
550,703925,KOLIGANEK,AK,59.73,-157.26,-17.0,35.83475783475784,81.0,0.0,4837.68,0.0,0.0,0.0
843,702223,KOYUK AIRPORT,AK,64.935,-161.155,-22.0,31.76477987421384,81.0,0.0,1229.9,0.0,0.0,0.0
1851,702725,LAKE HOOD SEAPLANE BASE,AK,61.178,-149.966,-14.1,38.75730027548209,79.0,0.0,49.279999999999994,0.0,0.0,0.0
386,998172,LINCOLN ROCK,AK,56.05,-132.7,13.6,47.16978021978022,74.5,0.0,0.0,0.0,0.0,0.0
2481,702960,M.K.(MUDHOLE) SMITH ARPT,AK,60.489,-145.451,-9.9,41.80958904109589,80.1,775.9,96.66000000000001,0.0,0.0,0.0
537,703055,MANOKOTAK,AK,58.99,-159.05,-9.0,41.23670886075949,78.1,0.0,439.6999999999999,0.0,0.0,0.0
145,997178,MARMION ISLAND,AK,58.198,-134.257,7.5,43.82438356164385,77.2,0.0,0.0,0.0,0.0,0.0
546,702628,MARSHALL DON HUNTER SR,AK,61.864,-162.026,-24.0,34.463976945244966,81.0,0.0,23.82,0.0,0.0,0.0
146,997179,MARY ISLAND,AK,55.099,-131.182,14.0,46.73416666666667,78.3,0.0,0.0,0.0,0.0,0.0
2170,702310,MCGRATH AIRPORT,AK,62.957,-155.61,-47.9,30.004871060171922,82.4,1310.8,519.08,0.0,0.0,0.0
849,702645,MCKINLEY NATIONAL PARK AIRPOR,AK,63.733,-148.917,-44.0,26.6495145631068,82.0,0.0,213.9,0.0,0.0,0.0
1899,702735,MERRILL FLD,AK,61.2,-149.833,-17.0,39.27753424657534,81.0,2908.2000000000003,43.99999999999999,0.0,0.0,0.0
818,703985,METLAKATLA SEAPLANE BASE,AK,55.131,-131.578,14.0,44.268722466960355,75.0,0.0,1098.6799999999994,0.0,0.0,0.0
1846,994670,MIDDLE ROCK LIGHT,AK,61.08,-146.66,7.5,40.197260273972596,69.1,0.0,0.0,0.0,0.0,0.0
2017,703430,MIDDLETON ISLAND,AK,59.433,-146.333,17.1,44.0760989010989,70.0,0.0,56718.14999999994,0.0,0.0,0.0
1890,702460,MINCHUMINA,AK,63.9,-152.267,-38.9,29.941551246537394,82.4,0.0,21.92,0.0,0.0,0.0
858,703056,MOUNTAIN VILLAGE AIRPORT,AK,62.095,-163.682,-22.0,21.403649635036494,68.0,0.0,602.4399999999999,0.0,0.0,0.0
2103,702195,NAPAKIAK,AK,60.683,-161.983,-25.1,28.965055762081786,71.1,0.0,708.8400000000001,0.0,0.0,0.0
576,703058,NELSON LAGOON,AK,56.01,-161.16,3.9,38.683132530120474,64.9,0.0,20798.279999999995,0.0,0.0,0.0
1898,702600,NENANA/MUN.                  ,AK,64.55,-149.083,-50.1,29.64109589041096,82.0,0.0,24.72,0.0,0.0,0.0
548,702697,NEW STUYAHOK,AK,59.45,-157.33,-27.9,35.74460227272727,81.0,0.0,42.67999999999999,0.0,0.0,0.0
684,997382,NIKISKI AK,AK,60.68,-151.4,-5.4,39.7422969187675,70.5,0.0,0.0,0.0,0.0,0.0
545,702625,NIKOLAI,AK,63.02,-154.36,-41.8,30.86299694189602,84.2,0.0,2430.8999999999996,0.0,0.0,0.0
832,701335,NOATAK AIRPORT,AK,67.566,-162.975,-44.0,22.193939393939395,73.9,0.0,215.82,0.0,0.0,0.0
318,998429,NOKOLSKI,AK,52.941,-168.871,18.5,41.52485875706214,57.4,0.0,0.0,0.0,0.0,0.0
2515,702000,NOME AIRPORT,AK,64.511,-165.44,-25.1,30.509589041095886,73.0,0.0,22.34,0.0,0.0,0.0
685,997383,NOME NORTON SOUND,AK,64.5,-165.42,-21.1,30.54775280898877,70.0,0.0,0.0,0.0,0.0,0.0
2433,702910,NORTHWAY AIRPORT,AK,62.962,-141.988,-59.1,25.320547945205483,82.9,3660.6999999999994,10.409999999999998,0.0,1.0,1.0
866,703644,NUIQSUT AIRPORT,AK,70.212,-151.002,-54.9,14.507438016528925,73.9,0.0,3007.7999999999997,0.0,0.0,0.0
2086,702740,PALMER MUNICIPAL AIRPORT,AK,61.596,-149.092,-16.1,39.69150684931507,82.0,0.0,46.300000000000004,0.0,0.0,0.0
2057,703860,PETERSBURG,AK,56.817,-132.967,-0.9,43.250136986301364,79.0,7.8,391.4,0.0,0.0,0.0
746,702626,PILOT POINT,AK,57.58,-157.58,-4.0,40.29413580246914,77.0,0.0,1411.4399999999998,0.0,0.0,0.0
779,703605,PLATINUM AIRPORT,AK,59.011,-161.82,-17.0,36.27382352941176,68.0,0.0,827.5199999999998,0.0,0.0,0.0
669,997796,POINT BISHOP,AK,58.2,-134.133,4.3,42.527747252747254,75.4,0.0,0.0,0.0,0.0,0.0
1513,701043,POINT HOPE AIRPORT,AK,68.35,-166.8,-27.9,21.075649350649346,54.0,0.0,19415.619999999995,0.0,0.0,0.0
831,701210,POINT LAY LRRS AIRPORT,AK,69.733,-163.005,-50.8,17.31191135734072,77.0,0.0,58494.269999999946,0.0,0.0,0.0
607,997797,POINT RETREAT,AK,58.4,-134.95,12.2,43.95824175824177,78.1,0.0,0.0,0.0,0.0,0.0
382,998341,PORT ALEXANDER,AK,56.247,-134.647,16.7,45.03408450704225,77.0,0.0,0.0,0.0,0.0,0.0
1726,703406,PORT ALSWORTH AIRPORT,AK,60.204,-154.316,-22.0,42.212132352941175,82.4,0.0,21397.86,0.0,0.0,0.0
2165,701190,PORT CLARENCE CGS,AK,65.254,-166.859,53.6,55.8,57.2,0.0,99.99,0.0,0.0,0.0
861,703330,PORT HEIDEN AIRPORT,AK,56.959,-158.632,-8.0,39.00791788856305,71.1,0.0,2628.3799999999997,0.0,0.0,0.0
824,700001,PORTAGE GLACIER,AK,60.785,-148.839,-18.9,38.07194444444444,73.0,0.0,193.88000000000002,0.0,0.0,0.0
1848,994660,POTATO POINT,AK,61.06,-146.7,8.8,41.18,69.8,0.0,0.0,0.0,0.0,0.0
2163,701748,PROSPECT CREEK AIRPORT,AK,66.817,-150.65,-32.8,22.987499999999997,66.2,0.0,999.8999999999999,0.0,0.0,0.0
668,997386,PRUDHOE BAY,AK,70.4,-148.52,-39.6,13.564655172413794,65.8,0.0,0.0,0.0,0.0,0.0
846,702490,PUNTILLA LAKE,AK,62.091,-152.735,-27.4,32.636119402985074,77.0,7887.400000000001,10613.66,0.0,0.0,0.0
98,703656,QUINHAGAK AIRPORT,AK,59.75,-161.833,-32.8,35.6764,80.1,0.0,2005.0999999999997,0.0,0.0,0.0
2447,701780,RALPH M CALHOUN MEML ARPT,AK,65.175,-152.107,-47.9,27.519613259668507,86.0,3629.5,110.40999999999997,0.0,0.0,0.0
2169,701330,RALPH WIEN MEMORIAL AIRPORT,AK,66.867,-162.633,-44.0,23.005753424657534,69.1,0.0,13.150000000000004,0.0,0.0,0.0
786,701045,RED DOG AIRPORT,AK,68.031,-162.903,-25.6,27.381707317073175,73.4,0.0,21797.82,0.0,0.0,0.0
652,997704,RED DOG DOCK,AK,67.57,-164.65,-28.3,27.796894409937888,72.5,0.0,0.0,0.0,0.0,0.0
251,704898,ROBERT (BOB) CURTIS MEMORIAL,AK,66.818,-161.022,-47.9,26.35775862068965,78.1,0.0,14.34,0.0,0.0,0.0
759,702627,RUBY AIRPORT,AK,64.727,-155.47,-32.1,30.73314121037464,81.0,0.0,11.01,0.0,0.0,0.0
857,703053,RUSSIAN MISSION AIRPORT,AK,61.775,-161.319,-38.2,34.010526315789484,82.0,0.0,1619.54,0.0,0.0,0.0
385,998243,SAND POINT,AK,55.333,-160.5,10.9,42.016949152542374,62.4,0.0,0.0,0.0,0.0,0.0
1725,703165,SAND POINT AIRPORT,AK,55.319,-160.521,10.0,42.2358904109589,66.9,0.0,44196.299999999974,0.0,0.0,0.0
782,702035,SAVOONGA AIRPORT,AK,63.687,-170.493,-23.1,28.96210526315789,64.0,0.0,5000.659999999999,0.0,0.0,0.0
549,703054,SCAMMON BAY,AK,61.845,-165.571,-18.9,37.21594827586207,73.9,0.0,19198.079999999998,0.0,0.0,0.0
825,700197,SELAWIK,AK,66.6,-159.986,-45.9,24.62997198879552,77.0,0.0,3805.88,0.0,0.0,0.0
865,703621,SELDOVIA AIRPORT,AK,59.443,-151.702,0.0,40.828493150684935,75.0,0.0,84.06,0.0,0.0,0.0
855,702770,SEWARD AIRPORT,AK,60.128,-149.417,3.0,41.069589041095895,80.1,0.0,1298.52,0.0,0.0,0.0
312,703888,SHAKTOOLIK AIRPORT,AK,64.37,-161.224,-22.0,28.541916167664667,79.0,0.0,7.53,0.0,0.0,0.0
830,701195,SHISHMAREF/NEW AIRPORT,AK,66.25,-166.089,-35.0,24.36454293628809,69.1,0.0,15798.719999999998,0.0,0.0,0.0
519,997799,SISTERS ISLAND,AK,58.167,-135.25,12.9,46.064835164835166,72.7,0.0,0.0,0.0,0.0,0.0
152,997171,SITKA,AK,57.052,-135.342,11.3,45.76,77.5,0.0,0.0,0.0,0.0,0.0
2176,703710,SITKA ROCKY GUTIERREZ ARPT,AK,57.048,-135.365,12.0,46.7986301369863,75.9,0.0,102.79999999999998,0.0,0.0,0.0
375,998259,SKAGWAY,AK,59.45,-135.318,-2.9,43.06480446927374,84.0,0.0,0.0,0.0,0.0,0.0
2445,703620,SKAGWAY AIRPORT,AK,59.456,-135.324,-2.9,42.924109589041095,88.0,0.0,30.470000000000002,0.0,0.0,0.0
850,702715,SKELTON AIRPORT,AK,61.949,-147.169,-23.1,27.450274725274728,77.0,0.0,26.44,0.0,0.0,0.0
809,703407,SLEETMUTE AIRPORT,AK,61.717,-157.15,-45.0,30.92642642642643,81.0,0.0,41.68,0.0,0.0,0.0
847,702595,SOLDOTNA AIRPORT,AK,60.476,-151.034,-23.1,37.30193370165747,79.0,0.0,237.21999999999997,0.0,0.0,0.0
661,997798,SOUTH DOUGLAS,AK,58.267,-134.433,8.1,43.999175824175815,81.0,0.0,0.0,0.0,0.0,0.0
2104,703335,SOUTH NAKNEK ARPT,AK,58.7,-157.0,-15.0,37.108287292817685,79.0,0.0,717.6599999999999,0.0,0.0,0.0
845,702350,SPARREVOHN LRRS AIRPORT,AK,61.1,-155.583,-27.2,32.82602739726027,73.8,727.6000000000001,7450.92,0.0,0.0,0.0
837,702005,ST MARY'S AIRPORT,AK,62.062,-163.3,-22.0,31.368219178082196,77.0,0.0,28.379999999999995,0.0,0.0,0.0
558,720382,ST MICHAEL,AK,63.49,-162.11,-20.9,31.241242937853105,80.1,0.0,18598.62,0.0,0.0,0.0
2444,703080,ST PAUL ISLAND AIRPORT,AK,57.155,-170.222,-0.9,36.051239669421484,57.9,0.0,23.68,0.0,0.0,0.0
868,703835,ST. GEORGE AIRPORT,AK,56.6,-169.565,6.1,42.30483091787439,57.9,0.0,39.800000000000004,0.0,0.0,0.0
2171,702510,TALKEETNA AIRPORT,AK,62.32,-150.095,-25.1,37.949450549450546,82.0,0.0,37.419999999999995,0.0,0.0,0.0
844,702315,TATALINA LRRS AIRPORT,AK,62.894,-155.976,-24.0,30.29635854341737,79.7,75.8,4838.94,0.0,0.0,0.0
2173,702730,TED STEVENS ANCHORAGE INTL,AK,61.169,-150.028,-11.9,39.381369863013695,78.1,2705.3999999999996,28.849999999999998,0.0,1.0,1.0
433,749230,TELLER AIRPORT,AK,65.233,-166.35,-24.0,29.863461538461532,70.0,0.0,216.35999999999993,0.0,0.0,0.0
359,998268,TENAKEE SPRINGS,AK,57.783,-135.217,10.6,44.90964187327824,78.6,0.0,0.0,0.0,0.0,0.0
829,701170,TIN CITY LRRS AIRPORT,AK,65.563,-167.921,-29.2,23.967032967032964,62.6,212.79999999999998,9620.679999999998,0.0,0.0,0.0
864,703606,TOGIAK AIRPORT,AK,59.067,-160.367,-29.9,34.48712871287128,78.1,0.0,453.47999999999996,0.0,0.0,0.0
808,703057,TOKSOOK BAY AIRPORT,AK,60.541,-165.087,-17.0,32.452542372881354,77.0,0.0,203.48,0.0,0.0,0.0
827,700634,UGNU-KUPRAUK AIRPORT,AK,70.331,-149.598,-50.8,14.130769230769232,71.6,0.0,32596.739999999987,0.0,0.0,0.0
2004,702070,UNALAKLEET,AK,63.883,-160.8,-34.1,30.575482093663915,82.0,0.0,13002.939999999999,0.0,0.0,0.0
335,998431,UNALASKA,AK,53.879,-166.54,20.8,45.8128205128205,73.0,0.0,0.0,0.0,0.0,0.0
378,998271,VALDEZ,AK,61.133,-146.367,1.4,39.384078212290504,71.8,0.0,0.0,0.0,0.0,0.0
853,702756,VALDEZ PIONEER FIELD AIRPORT,AK,61.132,-146.244,-9.0,41.33496732026144,75.2,0.0,7461.879999999999,0.0,0.0,0.0
2429,700260,W POST-WILL ROGERS MEMORIAL A,AK,71.283,-156.782,-38.0,16.145604395604398,69.1,0.0,12.180000000000001,0.0,0.0,0.0
2016,700300,WAINWRIGHT (DEW)             ,AK,70.617,-159.85,-45.0,15.808379888268155,73.9,0.0,1502.1,0.0,0.0,0.0
788,702615,WAINWRIGHT AAF AIRPORT,AK,64.838,-147.614,-44.1,28.338736263736266,85.6,6871.799999999999,6413.38,0.0,0.0,0.0
437,701337,WALES AIRPORT,AK,65.617,-168.1,-29.9,30.581854838709678,66.9,0.0,6299.399999999998,0.0,0.0,0.0
1828,702325,WASILLA AIRPORT,AK,61.572,-149.541,-18.9,39.02603878116344,80.1,0.0,38.519999999999996,0.0,0.0,0.0
221,702004,WHITE MOUNTAIN,AK,64.689,-163.413,-31.0,29.098837209302324,77.0,0.0,5499.469999999999,0.0,0.0,0.0
870,703870,WRANGELL AIRPORT,AK,56.473,-132.387,3.9,45.29260273972603,81.0,0.0,2938.46,0.0,0.0,0.0
2510,703610,YAKUTAT AIRPORT,AK,59.512,-139.671,-11.9,41.8891364902507,82.0,0.0,342.45,0.0,0.0,0.0
1566,722284,ABRN-OPLKA R G PITTS ARPT,AL,32.616,-85.433,21.0,65.5111801242236,96.1,0.0,292.4200000000001,0.0,0.0,0.0
801,722275,ANDALUSIA-OPP MUNICIPAL AIRPO,AL,31.309,-86.394,18.0,69.54219178082192,105.1,0.0,106.92,0.0,0.0,0.0
2187,722287,ANNISTON METROPOLITAN ARPT,AL,33.587,-85.856,9.0,62.80904109589041,97.0,0.0,249.84,0.0,0.0,0.0
47,720507,BESSEMER AIPORT,AL,33.313,-86.926,9.0,63.282739726027394,97.0,0.0,845.4,0.0,0.0,0.0
2476,722280,BIRMINGHAM INTERNATIONAL AIRP,AL,33.566,-86.745,9.0,64.33232876712331,100.0,1.2,68.7,0.0,1.0,1.0
228,998485,BON SECOUR,AL,30.329,-87.829,22.3,73.81283018867924,95.7,0.0,0.0,0.0,0.0,0.0
2020,722269,CAIRNS AAF,AL,31.267,-85.7,14.0,66.08269230769233,100.4,0.0,1289.1,0.0,0.0,0.0
250,998439,CEDAR POINT,AL,30.308,-88.14,21.9,73.09311740890688,100.6,0.0,0.0,0.0,0.0,0.0
509,998192,COAST GUARD SECTOR,AL,30.65,-88.05,20.5,68.32430167597767,98.6,0.0,0.0,0.0,0.0,0.0
100,722266,CRAIG FLD,AL,32.344,-86.988,15.8,64.04039548022598,98.6,0.0,26597.339999999997,0.0,0.0,0.0
83,A51255,DEMOPOLIS MUNICIPAL AIRPORT,AL,32.464,-87.954,13.1,65.1016620498615,100.2,0.0,15298.47,0.0,0.0,0.0
