,usaf,name,state,lat,lon,elev,min_temp,mean_temp,max_temp,total_snow,total_precipitation,high_prcp_days,tornado_funnel_cloud,hail,severity_rating
821,703050,CAPE HEWENHAM LRRS AIRPORT,AK,58.65,-162.067,+0164.9,-9.6,36.8184135977337,70.9,38.599999999999994,38.46,0.0,0.0,0.0,0.0
828,701040,CAPE LISBURNE LRRS AIRPORT,AK,68.867,-166.133,+0004.9,-31.0,22.151032448377585,63.1,211.59999999999997,5.37,0.0,0.0,0.0,0.0
840,702120,CAPE ROMANZOF LRRS ARPT,AK,61.783,-166.033,+0146.0,-13.4,31.199178082191782,69.8,83.7,29.0,0.0,0.0,0.0,0.0
610,997804,CAPE SPENCER,AK,58.2,-136.633,+0026.0,12.9,43.28873626373627,72.3,0.0,0.0,0.0,0.0,0.0,0.0
430,701338,CHEVAK AIRPORT,AK,61.533,-165.583,+0022.9,-22.0,30.295072463768115,78.1,0.0,0.0,0.0,0.0,0.0,0.0
862,703333,CHIGNIK AIRPORT,AK,56.311,-158.373,+0005.5,21.9,45.81284403669726,69.1,0.0,0.0,0.0,0.0,0.0,0.0
848,702606,CHULITNA,AK,62.826,-149.907,+0426.7,-7.6,24.352830188679246,55.4,14721.2,0.0,0.0,0.0,0.0,0.0
2490,703160,COLD BAY AIRPORT,AK,55.221,-162.732,+0023.8,3.9,40.35506849315069,69.1,0.0,40.97,0.0,0.0,0.0,0.0
333,998425,CORDOVA,AK,60.557,-145.755,+0012.5,12.9,42.754366197183096,68.0,0.0,0.0,0.0,0.0,0.0,0.0
2168,700637,DEADHORSE AIRPORT,AK,70.192,-148.477,+0018.6,-54.0,14.278021978021977,75.0,0.0,5.51,0.0,0.0,0.0,0.0
2082,701333,DEERING AIRPORT,AK,66.069,-162.764,+0006.4,-42.0,30.372614107883816,72.0,0.0,6.74,0.0,0.0,0.0,0.0
860,703210,DILLINGHAM AIRPORT,AK,59.05,-158.517,+0026.2,-25.6,36.65945205479452,79.0,0.0,25.81,0.0,0.0,0.0,0.0
481,704890,DUTCH HARBOR AIRPORT,AK,53.895,-166.543,+0003.1,15.1,42.40164383561645,73.9,47.79999999999999,21.27,0.0,0.0,0.0,0.0
836,701975,EAGLE AIRPORT,AK,64.777,-141.148,+0276.8,-59.1,26.53659217877095,88.0,0.0,11.49,0.0,0.0,0.0,0.0
1727,704140,EARECKSON AIR STATION AIRPORT,AK,52.717,174.1,+0037.2,20.3,41.165527065527066,58.3,43.99999999999999,46.49,0.0,0.0,12.0,12.0
863,703334,EGEGIK AIRPORT,AK,58.185,-157.386,+0028.0,-11.0,36.48164251207729,73.9,0.0,6.26,0.0,0.0,0.0,0.0
802,702650,EIELSON AFB AIRPORT,AK,64.683,-147.083,+0166.7,-49.2,27.409315068493154,83.8,8622.599999999999,10.2,0.0,0.0,2.0,2.0
532,997789,ELDRED ROCK,AK,58.967,-135.217,+0019.0,8.2,43.81620879120879,79.5,0.0,0.0,0.0,0.0,0.0,0.0
499,998206,ELFIN COVE,AK,58.183,-136.333,+0000.0,12.6,43.32203389830508,76.1,0.0,0.0,0.0,0.0,0.0,0.0
867,703817,ELFIN COVE SEAPLANE BASE,AK,58.192,-136.344,+0006.1,24.8,49.38691983122362,75.2,316.0,72.4,0.0,0.0,0.0,0.0
119,703891,ELIM AIRPORT,AK,64.617,-162.267,+0049.0,-20.0,30.88298507462687,77.0,0.0,15.97,0.0,0.0,0.0,0.0
851,702720,ELMENDORF AFB AIRPORT,AK,61.253,-149.794,+0064.6,-18.9,38.272876712328774,79.7,3654.599999999999,19.41,0.0,0.0,0.0,0.0
807,702084,EMMONAK,AK,62.785,-164.491,+0004.3,35.1,51.18,73.0,0.0,0.0,0.0,0.0,0.0,0.0
2415,702610,FAIRBANKS INTERNATIONAL,AK,64.804,-147.876,+0131.7,-47.0,29.657808219178083,86.0,4368.200000000001,10.44,0.0,0.0,0.0,0.0
2167,700638,FALSE PASS,AK,54.85,-163.417,+0006.0,10.0,41.44595588235294,70.0,0.0,18.63,0.0,0.0,0.0,0.0
1829,994720,FLAT ISLAND LIGHT,AK,59.33,-151.99,+0017.9,10.4,42.07205479452055,66.2,0.0,0.0,0.0,0.0,0.0,0.0
1884,701940,FORT YUKON,AK,66.567,-145.267,+0135.0,-53.0,23.505205479452055,84.9,0.0,3.97,0.0,0.0,0.0,0.0
783,700635,GALBRAITH LAKE AIRPORT,AK,68.479,-149.49,+0812.6,-47.2,12.136585365853657,68.0,0.0,0.0,0.0,0.0,0.0,0.0
842,702220,GALENA AIRPORT,AK,64.737,-156.934,+0046.6,-45.9,26.529392971246008,82.0,0.0,7.96,0.0,0.0,0.0,0.0
2008,702040,GAMBELL (AWOS)               ,AK,63.767,-171.733,+0008.0,-5.1,30.59090909090909,55.9,0.0,0.43000000000000005,0.0,0.0,0.0,0.0
2432,702710,GULKANA AIRPORT,AK,62.159,-145.459,+0476.1,-47.9,30.076438356164388,84.0,0.0,24.46,0.0,0.0,0.0,0.0
2062,703670,GUSTAVUS,AK,58.425,-135.707,+0010.0,-15.0,42.343646408839774,80.1,0.0,42.49,0.0,0.0,0.0,0.0
2098,703626,HAINES,AK,59.243,-135.509,+0004.6,-6.0,42.74820936639118,88.0,0.0,56.29,0.0,0.0,0.0,0.0
856,703051,HOLY CROSS AIRPORT,AK,62.183,-159.767,+0006.1,-36.0,36.722007722007724,82.9,0.0,10.93,0.0,0.0,0.0,0.0
2175,703410,HOMER AIRPORT,AK,59.642,-151.491,+0019.5,-2.0,41.1241095890411,73.0,0.0,26.22,0.0,0.0,0.0,0.0
147,997176,HOMER SPIT,AK,59.602,-151.417,+0015.0,9.3,42.488493150684924,64.4,0.0,0.0,0.0,0.0,0.0,0.0
1511,702607,HOONAH SEAPLANE BASE,AK,58.096,-135.409,+0000.0,8.1,36.0,63.0,0.0,17.14,0.0,0.0,0.0,0.0
841,702186,HOOPER BAY AIRPORT,AK,61.524,-166.147,+0005.5,-22.0,30.83062200956938,68.0,0.0,0.12,0.0,0.0,0.0,0.0
822,703655,HUSLIA AIRPORT,AK,65.698,-156.351,+0054.9,-51.0,27.864931506849317,82.9,0.0,10.39,0.0,0.0,0.0,0.0
1512,703884,HYDABURG SEAPLANE BASE,AK,55.206,-132.828,+0000.0,9.0,46.235393258426974,75.9,0.0,78.97,0.0,0.0,0.0,0.0
148,997177,ICY BAY,AK,59.923,-141.359,+0015.0,40.1,46.85999999999999,54.9,0.0,0.0,0.0,0.0,0.0,0.0
859,703061,IGIUGIG AIRPORT,AK,59.324,-155.902,+0027.4,-23.1,35.95240963855421,81.0,0.0,18.06,0.0,0.0,0.0,0.0
2174,703400,ILIAMNA AIRPORT,AK,59.749,-154.909,+0043.6,-29.9,37.37013698630137,80.1,1598.7000000000005,34.12,0.0,0.0,0.0,0.0
1723,701730,INDIAN MOUNTAIN LRRS ARPT,AK,66.0,-153.7,+0388.9,-33.3,27.580285714285722,79.3,234.2,16.18,0.0,0.0,0.0,0.0
376,998261,JUNEAU,AK,58.298,-134.412,+0003.0,4.5,42.965070422535206,82.9,0.0,0.0,0.0,0.0,0.0,0.0
2177,703810,JUNEAU INTERNATIONAL,AK,58.357,-134.564,+0004.9,-8.0,43.29534246575342,84.9,431.3,88.58,0.0,0.0,0.0,0.0
869,703855,KAKE AIRPORT,AK,56.967,-133.9,+0052.4,6.1,44.218539325842706,79.0,0.0,53.72,0.0,0.0,0.0,0.0
781,703052,KALSKAG AIRPORT,AK,61.536,-160.341,+0016.8,-24.0,33.80947368421052,81.0,0.0,18.57,0.0,0.0,0.0,0.0
838,702006,KALTAG AIRPORT,AK,64.327,-158.742,+0055.2,-43.1,26.172077922077918,88.0,0.0,15.24,0.0,0.0,0.0,0.0
2172,702590,KENAI MUNICIPAL AIRPORT,AK,60.58,-151.239,+0027.7,-31.0,36.68630136986302,78.1,0.0,13.45,0.0,0.0,0.0,0.0
374,998258,KETCHIKAN,AK,55.333,-131.625,+0003.0,10.6,46.30842696629214,76.5,0.0,0.0,0.0,0.0,0.0,0.0
2179,703950,KETCHIKAN INTL AIRPORT,AK,55.36,-131.721,+0024.4,3.0,46.25780821917808,78.1,0.0,155.33,0.0,0.0,0.0,0.0
379,998254,KING COVE,AK,55.067,-162.333,+0005.0,10.9,41.5563025210084,60.8,0.0,0.0,0.0,0.0,0.0,0.0
1697,703059,KING COVE,AK,55.17,-162.27,+0047.0,3.9,40.613850415512466,64.9,0.0,0.41000000000000003,0.0,0.0,0.0,0.0
2493,703260,KING SALMON AIRPORT,AK,58.683,-156.656,+0020.4,-22.0,37.70934065934065,80.1,0.0,32.06,0.0,0.0,0.0,0.0
833,701486,KIVALINA AIRPORT,AK,67.732,-164.548,+0003.1,-38.9,25.314801444043322,70.0,0.0,8.2,0.0,0.0,0.0,0.0
2065,703894,KLAWOCK AIRPORT,AK,55.58,-133.075,+0003.7,3.9,45.70165289256199,78.1,0.0,85.61,0.0,0.0,0.0,0.0
2434,703500,KODIAK AIRPORT,AK,57.751,-152.486,+0024.4,12.0,44.02164383561645,77.0,0.0,81.69,0.0,0.0,0.0,0.0
334,998427,KODIAK ISLAND,AK,57.73,-152.514,+0006.7,11.5,43.30788732394365,73.4,0.0,0.0,0.0,0.0,0.0,0.0
550,703925,KOLIGANEK,AK,59.73,-157.26,+0082.0,-17.0,35.83475783475784,81.0,0.0,19.080000000000002,0.0,0.0,0.0,0.0
843,702223,KOYUK AIRPORT,AK,64.935,-161.155,+0033.5,-22.0,31.76477987421384,81.0,0.0,15.01,0.0,0.0,0.0,0.0
1851,702725,LAKE HOOD SEAPLANE BASE,AK,61.178,-149.966,+0027.4,-14.1,38.75730027548209,79.0,0.0,24.64,0.0,0.0,0.0,0.0
386,998172,LINCOLN ROCK,AK,56.05,-132.7,+0012.0,13.6,47.169780219780215,74.5,0.0,0.0,0.0,0.0,0.0,0.0
2481,702960,M.K.(MUDHOLE) SMITH ARPT,AK,60.489,-145.451,+0009.5,-9.9,41.80958904109588,80.1,775.9000000000001,96.66,0.0,0.0,0.0,0.0
537,703055,MANOKOTAK,AK,58.99,-159.05,+0016.0,-9.0,41.2367088607595,78.1,0.0,19.87,0.0,0.0,0.0,0.0
145,997178,MARMION ISLAND,AK,58.198,-134.257,+0003.0,7.5,43.824383561643835,77.2,0.0,0.0,0.0,0.0,0.0,0.0
546,702628,MARSHALL DON HUNTER SR,AK,61.864,-162.026,+0031.4,-24.0,34.46397694524495,81.0,0.0,11.91,0.0,0.0,0.0,0.0
146,997179,MARY ISLAND,AK,55.099,-131.182,+0004.0,14.0,46.73416666666666,78.3,0.0,0.0,0.0,0.0,0.0,0.0
2170,702310,MCGRATH AIRPORT,AK,62.957,-155.61,+0101.5,-47.9,30.00487106017192,82.4,1310.8000000000002,19.13,0.0,0.0,0.0,0.0
849,702645,MCKINLEY NATIONAL PARK AIRPOR,AK,63.733,-148.917,+0524.3,-44.0,26.649514563106795,82.0,0.0,6.96,0.0,0.0,0.0,0.0
1899,702735,MERRILL FLD,AK,61.2,-149.833,+0042.0,-17.0,39.27753424657534,81.0,2908.2000000000003,22.0,0.0,0.0,0.0,0.0
818,703985,METLAKATLA SEAPLANE BASE,AK,55.131,-131.578,+0000.0,14.0,44.26872246696036,75.0,0.0,49.39,0.0,0.0,0.0,0.0
1846,994670,MIDDLE ROCK LIGHT,AK,61.08,-146.66,+0000.0,7.5,40.1972602739726,69.1,0.0,0.0,0.0,0.0,0.0,0.0
2017,703430,MIDDLETON ISLAND,AK,59.433,-146.333,+0014.0,17.1,44.0760989010989,70.0,0.0,7.94,0.0,0.0,0.0,0.0
1890,702460,MINCHUMINA,AK,63.9,-152.267,+0214.0,-38.9,29.941551246537397,82.4,0.0,10.96,0.0,0.0,0.0,0.0
858,703056,MOUNTAIN VILLAGE AIRPORT,AK,62.095,-163.682,+0102.7,-22.0,21.403649635036494,68.0,0.0,1.25,0.0,0.0,0.0,0.0
2103,702195,NAPAKIAK,AK,60.683,-161.983,+0005.2,-25.1,28.965055762081786,71.1,0.0,8.91,0.0,0.0,0.0,0.0
576,703058,NELSON LAGOON,AK,56.01,-161.16,+0004.0,3.9,38.68313253012048,64.9,0.0,0.18000000000000002,0.0,0.0,0.0,0.0
1898,702600,NENANA/MUN.                  ,AK,64.55,-149.083,+0110.0,-50.1,29.64109589041096,82.0,0.0,12.36,0.0,0.0,0.0,0.0
548,702697,NEW STUYAHOK,AK,59.45,-157.33,+0092.0,-27.9,35.74460227272726,81.0,0.0,21.34,0.0,0.0,0.0,0.0
684,997382,NIKISKI AK,AK,60.68,-151.4,+0008.0,-5.4,39.74229691876751,70.5,0.0,0.0,0.0,0.0,0.0,0.0
545,702625,NIKOLAI,AK,63.02,-154.36,+0126.0,-41.8,30.86299694189603,84.2,0.0,15.57,0.0,0.0,0.0,0.0
832,701335,NOATAK AIRPORT,AK,67.566,-162.975,+0026.8,-44.0,22.193939393939395,73.9,0.0,7.92,0.0,0.0,0.0,0.0
318,998429,NOKOLSKI,AK,52.941,-168.871,+0005.0,18.5,41.52485875706215,57.4,0.0,0.0,0.0,0.0,0.0,0.0
2515,702000,NOME AIRPORT,AK,64.511,-165.44,+0004.0,-25.1,30.509589041095893,73.0,0.0,22.34,0.0,0.0,0.0,0.0
685,997383,NOME NORTON SOUND,AK,64.5,-165.42,+0008.0,-21.1,30.54775280898876,70.0,0.0,0.0,0.0,0.0,0.0,0.0
2433,702910,NORTHWAY AIRPORT,AK,62.962,-141.988,+0522.1,-59.1,25.320547945205476,82.9,3660.7,10.41,0.0,0.0,1.0,1.0
866,703644,NUIQSUT AIRPORT,AK,70.212,-151.002,+0017.4,-54.9,14.507438016528926,73.9,0.0,4.05,0.0,0.0,0.0,0.0
2086,702740,PALMER MUNICIPAL AIRPORT,AK,61.596,-149.092,+0070.1,-16.1,39.69150684931506,82.0,0.0,23.15,0.0,0.0,0.0,0.0
2057,703860,PETERSBURG,AK,56.817,-132.967,+0000.0,-0.9,43.250136986301364,79.0,7.8,95.71,0.0,0.0,0.0,0.0
746,702626,PILOT POINT,AK,57.58,-157.58,+0017.0,-4.0,40.29413580246915,77.0,0.0,11.58,0.0,0.0,0.0,0.0
779,703605,PLATINUM AIRPORT,AK,59.011,-161.82,+0004.6,-17.0,36.273823529411764,68.0,0.0,13.8,0.0,0.0,0.0,0.0
669,997796,POINT BISHOP,AK,58.2,-134.133,+0005.0,4.3,42.527747252747254,75.4,0.0,0.0,0.0,0.0,0.0,0.0
1513,701043,POINT HOPE AIRPORT,AK,68.35,-166.8,+0004.0,-27.9,21.075649350649353,54.0,0.0,8.78,0.0,0.0,0.0,0.0
831,701210,POINT LAY LRRS AIRPORT,AK,69.733,-163.005,+0007.6,-50.8,17.31191135734072,77.0,0.0,0.04,0.0,0.0,0.0,0.0
607,997797,POINT RETREAT,AK,58.4,-134.95,+0032.0,12.2,43.958241758241755,78.1,0.0,0.0,0.0,0.0,0.0,0.0
382,998341,PORT ALEXANDER,AK,56.247,-134.647,+0007.0,16.7,45.03408450704225,77.0,0.0,0.0,0.0,0.0,0.0,0.0
1726,703406,PORT ALSWORTH AIRPORT,AK,60.204,-154.316,+0079.3,-22.0,42.21213235294117,82.4,0.0,0.0,0.0,0.0,0.0,0.0
2165,701190,PORT CLARENCE CGS,AK,65.254,-166.859,+0003.0,53.6,55.8,57.2,0.0,0.0,0.0,0.0,0.0,0.0
861,703330,PORT HEIDEN AIRPORT,AK,56.959,-158.632,+0026.8,-8.0,39.00791788856305,71.1,0.0,14.32,0.0,0.0,0.0,0.0
824,700001,PORTAGE GLACIER,AK,60.785,-148.839,+0031.4,-18.9,38.07194444444444,73.0,0.0,96.94,0.0,0.0,0.0,0.0
1848,994660,POTATO POINT,AK,61.06,-146.7,+0007.0,8.8,41.18,69.8,0.0,0.0,0.0,0.0,0.0,0.0
2163,701748,PROSPECT CREEK AIRPORT,AK,66.817,-150.65,+0335.0,-32.8,22.9875,66.2,0.0,0.0,0.0,0.0,0.0,0.0
668,997386,PRUDHOE BAY,AK,70.4,-148.52,+0005.0,-39.6,13.564655172413794,65.8,0.0,0.0,0.0,0.0,0.0,0.0
846,702490,PUNTILLA LAKE,AK,62.091,-152.735,+0566.3,-27.4,32.63611940298508,77.0,7887.4,7.36,0.0,0.0,0.0,0.0
98,703656,QUINHAGAK AIRPORT,AK,59.75,-161.833,+0013.0,-32.8,35.676399999999994,80.1,0.0,5.3,0.0,0.0,0.0,0.0
2447,701780,RALPH M CALHOUN MEML ARPT,AK,65.175,-152.107,+0067.7,-47.9,27.51961325966851,86.0,3629.5000000000005,10.42,0.0,0.0,0.0,0.0
2169,701330,RALPH WIEN MEMORIAL AIRPORT,AK,66.867,-162.633,+0009.1,-44.0,23.005753424657534,69.1,0.0,13.15,0.0,0.0,0.0,0.0
786,701045,RED DOG AIRPORT,AK,68.031,-162.903,+0296.9,-25.6,27.38170731707317,73.4,0.0,0.0,0.0,0.0,0.0,0.0
652,997704,RED DOG DOCK,AK,67.57,-164.65,+0003.0,-28.3,27.796894409937888,72.5,0.0,0.0,0.0,0.0,0.0,0.0
251,704898,ROBERT (BOB) CURTIS MEMORIAL,AK,66.818,-161.022,+0017.1,-47.9,26.357758620689655,78.1,0.0,7.17,0.0,0.0,0.0,0.0
759,702627,RUBY AIRPORT,AK,64.727,-155.47,+0199.0,-32.1,30.73314121037464,81.0,0.0,11.01,0.0,0.0,0.0,0.0
857,703053,RUSSIAN MISSION AIRPORT,AK,61.775,-161.319,+0015.5,-38.2,34.010526315789484,82.0,0.0,9.85,0.0,0.0,0.0,0.0
385,998243,SAND POINT,AK,55.333,-160.5,+0010.0,10.9,42.01694915254238,62.4,0.0,0.0,0.0,0.0,0.0,0.0
1725,703165,SAND POINT AIRPORT,AK,55.319,-160.521,+0006.4,10.0,42.23589041095891,66.9,0.0,0.36,0.0,0.0,0.0,0.0
782,702035,SAVOONGA AIRPORT,AK,63.687,-170.493,+0016.8,-23.1,28.96210526315789,64.0,0.0,0.58,0.0,0.0,0.0,0.0
549,703054,SCAMMON BAY,AK,61.845,-165.571,+0004.3,-18.9,37.21594827586207,73.9,0.0,0.0,0.0,0.0,0.0,0.0
825,700197,SELAWIK,AK,66.6,-159.986,+0007.6,-45.9,24.629971988795514,77.0,0.0,3.13,0.0,0.0,0.0,0.0
865,703621,SELDOVIA AIRPORT,AK,59.443,-151.702,+0008.8,0.0,40.82849315068493,75.0,0.0,42.03,0.0,0.0,0.0,0.0
855,702770,SEWARD AIRPORT,AK,60.128,-149.417,+0006.7,3.0,41.06958904109589,80.1,0.0,49.32,0.0,0.0,0.0,0.0
312,703888,SHAKTOOLIK AIRPORT,AK,64.37,-161.224,+0007.0,-22.0,28.54191616766467,79.0,0.0,7.53,0.0,0.0,0.0,0.0
830,701195,SHISHMAREF/NEW AIRPORT,AK,66.25,-166.089,+0002.1,-35.0,24.36454293628809,69.1,0.0,0.15,0.0,0.0,0.0,0.0
519,997799,SISTERS ISLAND,AK,58.167,-135.25,+0051.0,12.9,46.064835164835166,72.7,0.0,0.0,0.0,0.0,0.0,0.0
152,997171,SITKA,AK,57.052,-135.342,+0001.0,11.3,45.75999999999999,77.5,0.0,0.0,0.0,0.0,0.0,0.0
2176,703710,SITKA ROCKY GUTIERREZ ARPT,AK,57.048,-135.365,+0004.3,12.0,46.798630136986304,75.9,0.0,102.8,0.0,0.0,0.0,0.0
375,998259,SKAGWAY,AK,59.45,-135.318,+0003.0,-2.9,43.064804469273746,84.0,0.0,0.0,0.0,0.0,0.0,0.0
2445,703620,SKAGWAY AIRPORT,AK,59.456,-135.324,+0006.1,-2.9,42.924109589041095,88.0,0.0,30.47,0.0,0.0,0.0,0.0
850,702715,SKELTON AIRPORT,AK,61.949,-147.169,+1002.5,-23.1,27.450274725274724,77.0,0.0,13.22,0.0,0.0,0.0,0.0
809,703407,SLEETMUTE AIRPORT,AK,61.717,-157.15,+0054.3,-45.0,30.926426426426428,81.0,0.0,20.84,0.0,0.0,0.0,0.0
847,702595,SOLDOTNA AIRPORT,AK,60.476,-151.034,+0034.4,-23.1,37.30193370165746,79.0,0.0,18.62,0.0,0.0,0.0,0.0
661,997798,SOUTH DOUGLAS,AK,58.267,-134.433,+0004.0,8.1,43.999175824175836,81.0,0.0,0.0,0.0,0.0,0.0,0.0
2104,703335,SOUTH NAKNEK ARPT,AK,58.7,-157.0,+0049.4,-15.0,37.10828729281768,79.0,0.0,17.73,0.0,0.0,0.0,0.0
845,702350,SPARREVOHN LRRS AIRPORT,AK,61.1,-155.583,+0484.0,-27.2,32.826027397260276,73.8,727.6,25.830000000000002,0.0,0.0,0.0,0.0
837,702005,ST MARY'S AIRPORT,AK,62.062,-163.3,+0095.1,-22.0,31.368219178082196,77.0,0.0,14.19,0.0,0.0,0.0,0.0
558,720382,ST MICHAEL,AK,63.49,-162.11,+0028.0,-20.9,31.241242937853105,80.1,0.0,0.24,0.0,0.0,0.0,0.0
2444,703080,ST PAUL ISLAND AIRPORT,AK,57.155,-170.222,+0010.7,-0.9,36.0512396694215,57.9,0.0,23.68,0.0,0.0,0.0,0.0
868,703835,ST. GEORGE AIRPORT,AK,56.6,-169.565,+0038.1,6.1,42.3048309178744,57.9,0.0,19.9,0.0,0.0,0.0,0.0
2171,702510,TALKEETNA AIRPORT,AK,62.32,-150.095,+0106.7,-25.1,37.94945054945056,82.0,0.0,37.42,0.0,0.0,0.0,0.0
844,702315,TATALINA LRRS AIRPORT,AK,62.894,-155.976,+0293.8,-24.0,30.296358543417366,79.7,75.8,19.71,0.0,0.0,0.0,0.0
2173,702730,TED STEVENS ANCHORAGE INTL,AK,61.169,-150.028,+0036.6,-11.9,39.3813698630137,78.1,2705.3999999999996,28.85,0.0,0.0,1.0,1.0
433,749230,TELLER AIRPORT,AK,65.233,-166.35,+0089.0,-24.0,29.86346153846154,70.0,0.0,8.19,0.0,0.0,0.0,0.0
359,998268,TENAKEE SPRINGS,AK,57.783,-135.217,+0005.0,10.6,44.90964187327824,78.6,0.0,0.0,0.0,0.0,0.0,0.0
829,701170,TIN CITY LRRS AIRPORT,AK,65.563,-167.921,+0082.6,-29.2,23.967032967032964,62.6,212.8,10.82,0.0,0.0,0.0,0.0
864,703606,TOGIAK AIRPORT,AK,59.067,-160.367,+0006.1,-29.9,34.48712871287128,78.1,0.0,26.76,0.0,0.0,0.0,0.0
808,703057,TOKSOOK BAY AIRPORT,AK,60.541,-165.087,+0018.0,-17.0,32.45254237288136,77.0,0.0,1.75,0.0,0.0,0.0,0.0
827,700634,UGNU-KUPRAUK AIRPORT,AK,70.331,-149.598,+0020.4,-50.8,14.13076923076923,71.6,0.0,0.0,0.0,0.0,0.0,0.0
2004,702070,UNALAKLEET,AK,63.883,-160.8,+0006.0,-34.1,30.57548209366391,82.0,0.0,2.12,0.0,0.0,0.0,0.0
335,998431,UNALASKA,AK,53.879,-166.54,+0005.7,20.8,45.812820512820515,73.0,0.0,0.0,0.0,0.0,0.0,0.0
