,state,name,min_temp
44,AK,SHEMYA ISLAND,-57.1
45,AK,ATTU NS,-57.1
46,AK,ANGOON,-57.1
47,AK,CAMDEN BAY,-57.1
48,AK,CAPE SIMPSON POW A,-57.1
49,AK,CRAIG,-57.1
50,AK,HUMPHREY POINT BAR A,-57.1
51,AK,CANDLE,-57.1
52,AK,FLAXMAN ISLAND POW 3         ,-57.1
53,AK,PORTAGE,-57.1
54,AK,OLD MAN,-57.1
55,AK,JUNEAU MUNICIPAL ARPT,-57.1
56,AK,YAKUTAT STATE AP,-57.1
57,AK,HOMER MUNICIPAL ARPT,-57.1
58,AK,COLD BAY ARPT,-57.1
59,AK,VALDEZ WSO,-57.1
60,AK,ANCHORAGE INTL AP,-57.1
61,AK,MCGRATH ARPT,-57.1
62,AK,TALKEETNA STATE ARPT,-57.1
63,AK,BETTLES FIELD,-57.1
64,AK,KOTZEBUE RALPH WEIN MEMORIAL,-57.1
65,AK,NOME MUNICIPAL ARPT,-57.1
66,AK,UNALAKLEET FIELD,-57.1
67,AK,POINT LAY LIZ 2              ,-57.1
68,AK,OLIKTOK POW 2                ,-57.1
69,AK,WAINWRIGHT LIZ 3             ,-57.1
70,AK,LONELY,-57.1
71,AK,SUMMIT AIRPORT,-57.1
72,AK,SHEEP MOUNTAIN,-57.1
73,AK,SHEMYA AFB,-57.1
74,AK,ANCHORAGE ELMENDORF AFB,-57.1
75,AK,HAYES RIVER,-57.1
76,AK,WAINWRIGHT AIRPORT,-57.1
77,AK,ALEKNAGIK 1 NNE              ,-57.1
78,AK,SITKA 1 NE                   ,-57.1
79,AK,GUSTAVUS 2 NE                ,-57.1
80,AK,METLAKATLA 6 S               ,-57.1
81,AK,YAKUTAT 3 SSE                ,-57.1
82,AK,KING SALMON 42 SE            ,-57.1
83,AK,SAND POINT 1 ENE             ,-57.1
84,AK,FAIRBANKS 11 NE              ,-57.1
85,AK,PORT ALSWORTH 1 SW           ,-57.1
86,AK,KENAI 29 ENE                 ,-57.1
87,AK,IVOTUK 1 NNE                 ,-57.1
88,AK,DEADHORSE 3 S                ,-57.1
89,AK,RED DOG MINE 3 SSW           ,-57.1
90,AK,BETHEL 87 WNW                ,-57.1
91,AK,GLENNALLEN 64 N              ,-57.1
92,AK,TOK 70 SE                    ,-57.1
93,AK,CORDOVA 14 ESE               ,-57.1
94,AK,RUBY 44 ESE                  ,-57.1
95,AK,SELAWIK 28 E                 ,-57.1
96,AK,DENALI 27 N                  ,-57.1
97,AK,TOOLIK LAKE 5 ENE            ,-57.1
98,AK,ST. PAUL 4 NE                ,-57.1
99,AK,NUIQSUT,-54.9
100,AK,NUIQSUT AIRPORT,-54.9
101,AK,DEADHORSE AIRPORT,-54.0
102,AK,FORT YUKON AIRPORT,-53.0
103,AK,DEADHORSE ALPINE AIR,-52.6
104,AK,ALPINE AIRSTRIP,-52.6
105,AK,HUSLIA,-51.0
106,AK,HUSLIA AIRPORT,-51.0
107,AK,BETTLES AIRPORT,-51.0
108,AK,UGNU-KUPARUK AIRPORT,-50.8
109,AK,UGNU-KUPRAUK AIRPORT,-50.8
110,AK,POINT LAY,-50.8
111,AK,POINT LAY LRRS AIRPORT,-50.8
112,AK,NENANA/MUN.                  ,-50.1
113,AK,NENANA MUNICIPAL AIRPORT,-50.1
114,AK,FAIRBANKS/EIELSON A,-49.2
115,AK,EIELSON AFB AIRPORT,-49.2
116,AK,REBERT (BOB) CURTIS MEMORIAL,-47.9
117,AK,ROBERT (BOB) CURTIS MEMORIAL,-47.9
118,AK,MCGRATH AIRPORT,-47.9
119,AK,RALPH M CALHOUN MEML ARPT,-47.9
120,AK,ARCTIC VILLAGE,-47.9
121,AK,ARCTIC VILLAGE AIRPORT,-47.9
122,AK,GULKANA AIRPORT,-47.9
123,AK,GALBRAITH LAKE AIRPORT,-47.2
124,AK,GALBRAITH LAKE,-47.2
125,AK,FAIRBANKS INTERNATIONAL,-47.0
126,AK,ATQASUK EDWARD BURNELL SR. ME,-45.9
127,AK,BUCKLAND,-45.9
128,AK,BUCKLAND AIRPORT,-45.9
129,AK,GALENA A.                    ,-45.9
130,AK,GALENA AIRPORT,-45.9
131,AK,SELAWIK,-45.9
132,AK,SLEETMUTE AIRPORT,-45.0
133,AK,SLEETMUTE,-45.0
134,AK,WAINWRIGHT (DEW)             ,-45.0
135,AK,WAINWRIGHT AAF,-44.1
136,AK,WAINWRIGHT AAF AIRPORT,-44.1
137,AK,NOATAK,-44.0
138,AK,NOATAK AIRPORT,-44.0
139,AK,MCKINLEY NATIONAL PK,-44.0
140,AK,MCKINLEY NATIONAL PARK AIRPOR,-44.0
141,AK,RALPH WIEN MEMORIAL AIRPORT,-44.0
142,AK,AMBLER AIRPORT,-43.6
143,AK,AMBLER,-43.6
144,AK,BOB BAKER MEM,-43.1
145,AK,BOB BARKER MEMORIAL AIRPORT,-43.1
146,AK,KALTAG AIRPORT,-43.1
147,AK,ANAKTUVUK PASS,-43.1
148,AK,ANAKTUVUK PASS AIRPORT,-43.1
149,AK,BARTER ISLAND,-43.1
150,AK,BARTER ISLAND AIRPORT,-43.1
151,AK,DEERING AIRPORT,-42.0
152,AK,DEERING,-42.0
153,AK,NIKOLAI,-41.8
154,AK,NIKOLAI AIRPORT,-41.8
155,AK,ANIAK,-40.0
156,AK,KIVALINA,-38.9
157,AK,KIVALINA AIRPORT,-38.9
158,AK,ALLEN ARMY AIRFIELD,-38.9
159,AK,RUSSIAN MISSION,-38.2
160,AK,RUSSIAN MISSION AIRPORT,-38.2
161,AK,W POST-WILL ROGERS MEMORIAL A,-38.0
162,AK,HOLY CROSS,-36.0
163,AK,HOLY CROSS AIRPORT,-36.0
164,AK,SHISHMAREF,-35.0
165,AK,SHISHMAREF/NEW AIRPORT,-35.0
166,AK,UNALAKLEET,-34.1
167,AK,UNALAKLEET AIRPORT,-34.1
168,AK,INDIAN MOUNTAIN AFS,-33.3
169,AK,INDIAN MOUNTAIN LRRS ARPT,-33.3
170,AK,PROSPECT CREEK AIRPORT,-32.8
171,AK,QUINHAGAK AIRPORT,-32.8
172,AK,GOLOVIN AIRPORT,-32.1
173,AK,CAPE DARBY REMOT COM OUTLT,-32.1
174,AK,RUBY AIRPORT,-32.1
175,AK,CAPE LISBURNE AFS,-31.0
176,AK,CAPE LISBURNE LRRS AIRPORT,-31.0
177,AK,WHITE MOUNTAIN,-31.0
178,AK,KENAI MUNICIPAL AIRPORT,-31.0
179,AK,WALES AIRPORT,-29.9
180,AK,TOGIAK,-29.9
181,AK,TOGIAK AIRPORT,-29.9
182,AK,ILIAMNA AIRPORT,-29.9
183,AK,TIN CITY AFS,-29.2
184,AK,TIN CITY LRRS AIRPORT,-29.2
185,AK,RED DOG DOCK,-28.3
186,AK,POINT HOPE AIRPORT,-27.9
187,AK,ANVIK,-27.9
188,AK,ANVIK AIRPORT,-27.9
189,AK,NEW STUYAHOK,-27.9
190,AK,NEW STUYAHOK AIRPORT,-27.9
191,AK,PUNTILLA,-27.4
192,AK,SPARREVOHN AFS,-27.2
193,AK,SPARREVOHN LRRS AIRPORT,-27.2
194,AK,BETHEL AIRPORT,-26.0
195,AK,RED DOG,-25.6
196,AK,RED DOG AIRPORT,-25.6
197,AK,BRYANT ARMY AIRFIELD HELIPORT,-25.6
198,AK,DILLINGHAM MUNI,-25.6
199,AK,DILLINGHAM AIRPORT,-25.6
200,AK,NAPAKIAK,-25.1
201,AK,NOME AIRPORT,-25.1
202,AK,TALKEETNA AIRPORT,-25.1
203,AK,KALSKAG,-24.0
204,AK,KALSKAG AIRPORT,-24.0
205,AK,TATALINA LRRS,-24.0
206,AK,TATALINA LRRS AIRPORT,-24.0
207,AK,TELLER AIRPORT,-24.0
208,AK,MARSHALL DON HUNTER SR,-24.0
209,AK,MARSHALL DON HUNTER SR AIRPOR,-24.0
210,AK,SAVOONGA,-23.1
211,AK,SAVOONGA AIRPORT,-23.1
212,AK,SOLDOTNA,-23.1
213,AK,SOLDOTNA AIRPORT,-23.1
214,AK,EUREKA SKELTON AIR,-23.1
215,AK,SKELTON AIRPORT,-23.1
216,AK,IGIUGIG,-23.1
217,AK,IGIUGIG AIRPORT,-23.1
218,AK,KOYUK AIRPORT,-22.0
219,AK,PORT ALSWORTH AIR,-22.0
220,AK,PORT ALSWORTH AIRPORT,-22.0
221,AK,SHAKTOOLIK AIRPORT,-22.0
222,AK,MOUNTAIN VILLAGE,-22.0
223,AK,MOUNTAIN VILLAGE AIRPORT,-22.0
224,AK,CHEVAK AIRPORT,-22.0
225,AK,ST MARYS,-22.0
226,AK,ST MARY'S AIRPORT,-22.0
227,AK,HOOPER BAY,-22.0
228,AK,HOOPER BAY AIRPORT,-22.0
229,AK,KING SALMON AIRPORT,-22.0
230,AK,NOME NORTON SOUND,-21.1
231,AK,ST MICHAEL,-20.9
232,AK,ST MICHAEL AIRPORT,-20.9
233,AK,ELIM AIRPORT,-20.0
234,AK,AKIAK,-20.0
235,AK,KIPNUK AIRPORT,-20.0
236,AK,PORTAGE GLACIER,-18.9
237,AK,ANCHORAGE/ELMENDORF,-18.9
238,AK,ELMENDORF AFB AIRPORT,-18.9
239,AK,SCAMMON BAY,-18.9
240,AK,SCAMMON BAY AIRPORT,-18.9
241,AK,WASILLA,-18.9
242,AK,WASILLA AIRPORT,-18.9
243,AK,TOKSOOK BAY AIRPORT,-17.0
244,AK,TOOKSOK BAY,-17.0
245,AK,PLATINUM,-17.0
246,AK,PLATINUM AIRPORT,-17.0
247,AK,MERRILL FLD,-17.0
248,AK,MERRILL FIELD AIRPORT,-17.0
249,AK,KOLIGANEK,-17.0
250,AK,KOLIGANEK AIRPORT,-17.0
251,AK,PALMER,-16.1
252,AK,PALMER MUNICIPAL AIRPORT,-16.1
253,AK,BIRCHWOOD,-16.1
254,AK,BIRCHWOOD AIRPORT,-16.1
255,AK,SOUTH NAKNEK ARPT,-15.0
256,AK,ANCHORAGE LAKE HOOD,-14.1
257,AK,LAKE HOOD SEAPLANE BASE,-14.1
258,AK,CAPE ROMANZOFF AFS,-13.4
259,AK,CAPE ROMANZOF LRRS ARPT,-13.4
260,AK,YAKUTAT AIRPORT,-11.9
261,AK,TED STEVENS ANCHORAGE INTL,-11.9
262,AK,EGEGIK(AWOS)                 ,-11.0
263,AK,EGEGIK AIRPORT,-11.0
264,AK,M.K.(MUDHOLE) SMITH ARPT,-9.9
265,AK,CAPE NEWENHAM AFS,-9.6
266,AK,CAPE HEWENHAM LRRS AIRPORT,-9.6
267,AK,MANOKOTAK,-9.0
268,AK,MANOKOTAK AIRPORT,-9.0
269,AK,VALDEZ PIONEER FIEL,-9.0
270,AK,VALDEZ PIONEER FIELD AIRPORT,-9.0
271,AK,PORT HEIDEN,-8.0
272,AK,PORT HEIDEN AIRPORT,-8.0
273,AK,JUNEAU INTERNATIONAL,-8.0
274,AK,CHULITNA AIRPORT,-7.6
275,AK,CHULITNA,-7.6
276,AK,ANCHORAGE,-6.7
277,AK,NIKISKI AK,-5.4
278,AK,GAMBELL (AWOS)               ,-5.1
279,AK,GAMBELL AIRPORT,-5.1
280,AK,PILOT POINT,-4.0
281,AK,SKAGWAY,-2.9
282,AK,SKAGWAY AIRPORT,-2.9
283,AK,AUGUSTINE ISLAND,-2.7
284,AK,HOMER AIRPORT,-2.0
285,AK,JAMES A JOHNSON AIRPORT,-0.9
286,AK,ST PAUL ISLAND AIRPORT,-0.9
287,AK,SELDOVIA ARPT,0.0
288,AK,SELDOVIA AIRPORT,0.0
289,AK,VALDEZ,1.4
290,AK,SEWARD,3.0
291,AK,SEWARD AIRPORT,3.0
292,AK,KETCHIKAN INTL AIRPORT,3.0
293,AK,KING COVE,3.9
294,AK,COLD BAY AIRPORT,3.9
295,AK,NELSON LAGOON,3.9
296,AK,NELSON LAGOON AIRPORT,3.9
297,AK,WRANGELL,3.9
298,AK,WRANGELL AIRPORT,3.9
299,AK,KLAWOCK,3.9
300,AK,KLAWOCK AIRPORT,3.9
301,AK,POINT BISHOP,4.3
302,AK,JUNEAU,4.5
303,AK,ANGOON SEAPLANE BASE,5.0
304,AK,KAKE,6.1
305,AK,KAKE AIRPORT,6.1
306,AK,ST GEORGE,6.1
307,AK,ST. GEORGE AIRPORT,6.1
308,AK,MARMION ISLAND,7.5
309,AK,MIDDLE ROCK LIGHT,7.5
310,AK,HOONAH SEAPLANE BASE,8.1
311,AK,SOUTH DOUGLAS,8.1
312,AK,AKHIOK,8.1
313,AK,ELDRED ROCK,8.2
314,AK,POTATO POINT,8.8
315,AK,HYDABURG SEAPLANE BA,9.0
316,AK,HYDABURG SEAPLANE BASE,9.0
317,AK,HOMER SPIT,9.3
318,AK,ALITAK,9.5
319,AK,FALSE PASS,10.0
320,AK,SAND POINT,10.0
321,AK,SAND POINT AIRPORT,10.0
322,AK,FLAT ISLAND LIGHT,10.4
323,AK,BARTLET COVE,10.6
324,AK,KETCHIKAN,10.6
325,AK,TENAKEE SPRINGS,10.6
326,AK,SITKA,11.3
327,AK,KODIAK ISLAND,11.5
328,AK,KODIAK AIRPORT,12.0
329,AK,SITKA ROCKY GUTIERREZ ARPT,12.0
330,AK,POINT RETREAT,12.2
331,AK,ELFIN COVE,12.6
332,AK,SISTERS ISLAND,12.9
333,AK,CORDOVA,12.9
334,AK,ADAK (NAS)                   ,12.9
335,AK,ADAK NAS,12.9
336,AK,LINCOLN ROCK,13.6
337,AK,BLIGH REEF LIGHT,13.8
338,AK,METLAKATLA SEAPLANE BASE,14.0
339,AK,METLAKATLA SEAPLANE,14.0
340,AK,MARY ISLAND,14.0
341,AK,DUTCH HARBOR,15.1
342,AK,DUTCH HARBOR AIRPORT,15.1
343,AK,PORT ALEXANDER,16.7
344,AK,MIDDLETON ISLAND,17.1
345,AK,MIDDLETON ISLAND METEOROLOGY,17.1
346,AK,NOKOLSKI,18.5
347,AK,ADAK ISLAND,18.7
348,AK,EARECKSON AS,20.3
349,AK,EARECKSON AIR STATION AIRPORT,20.3
350,AK,UNALASKA,20.8
351,AK,ATKA,21.4
352,AK,CHIGNIK AIRPORT,21.9
353,AK,ELFIN COVE SEAPLANE,24.8
354,AK,ELFIN COVE SEAPLANE BASE,24.8
355,AK,ATKA AIRPORT,28.9
356,AK,EMMONAK,35.1
357,AK,ICY BAY,40.1
358,AK,PORT CLARENCE CGS,53.6
359,AL,CAIRNS FIELD FORT RUCKER,-57.1
360,AL,TROY AF,-57.1
361,AL,CENTREVILLE WSMO,-57.1
362,AL,ANNISTON CALHOUN CO AP,-57.1
363,AL,EVERGREEN INTERMEDIATE FLD,-57.1
364,AL,MUSCLE SHOALS REGIONAL AP,-57.1
365,AL,ANDALUSIA-OPP  MUNICIPAL AIRP,-57.1
366,AL,GUNTERSVILLE 2 SW            ,-57.1
367,AL,TUSCALOOSA MUNICIPAL AP,-57.1
368,AL,BARIN FIELD NAAS,-57.1
369,AL,DOTHAN MUNICIPAL AP,-57.1
370,AL,HUNTSVILLE MADISON COUNTY ARP,-57.1
371,AL,BIRMINGHAM MUNICIPAL AP,-57.1
372,AL,MOBILE REGIONAL AP,-57.1
373,AL,MONTGOMERY DANNELLY FIELD,-57.1
374,AL,11 WEST OXMOOR RD            ,-57.1
375,AL,DOTHAN REGIONAL AP,-57.1
376,AL,FOLSOM FIELD AP,-57.1
377,AL,TROY 2 W                     ,-57.1
378,AL,THOMASVILLE 2 S              ,-57.1
379,AL,GADSDEN 19 N                 ,-57.1
380,AL,SELMA 13 WNW                 ,-57.1
381,AL,VALLEY HEAD 1 SSW            ,-57.1
382,AL,CULLMAN 3 ENE                ,-57.1
383,AL,COURTLAND 2 WSW              ,-57.1
384,AL,FAIRHOPE 3 NE                ,-57.1
385,AL,CLANTON 2 NE                 ,-57.1
386,AL,GAINESVILLE 2 NE             ,-57.1
387,AL,GREENSBORO 2 WNW             ,-57.1
388,AL,MUSCLE SHOALS 2 N            ,-57.1
389,AL,RUSSELLVILLE 4 SSE           ,-57.1
390,AL,SCOTTSBORO 2 NE              ,-57.1
391,AL,SELMA 6 SSE                  ,-57.1
392,AL,BREWTON 3 NNE                ,-57.1
393,AL,NORTHPORT 2 S                ,-57.1
394,AL,HIGHLAND HOME 2 S            ,-57.1
395,AL,TALLADEGA 10 NNE             ,-57.1
396,AL,CULLMAN REGIONAL AIRPORT FOLS,-57.1
397,AL,HALEYVIILLE / POSEY FIELD,1.0
398,AL,POSEY FIELD AIRPORT,1.0
399,AL,FOLSOM FLD,1.4
400,AL,TALLADEGA MUNI,1.6
401,AL,HUNTSVILLE,2.5
402,AL,MADISON CO EXECUTIVE ARPT,2.5
403,AL,PRYOR FLD RGNL,3.0
404,AL,PRYOR FIELD REGIONAL ARPT,3.0
405,AL,HUNTSVILLE INTL/C.T.JONES FIE,3.0
406,AL,NORTH WEST ALABAMA REGIONAL A,3.2
407,AL,THE ALBERTVILLE MUNI ARPT-THO,5.0
408,AL,REDSTONE AAF,5.0
409,AL,REDSTONE ARMY AIRFIELD,5.0
410,AL,ISBELL FIELD AIRPORT,6.6
411,AL,WALKER COUNTY AIRPORT BEVILL,6.8
412,AL,SCOTTSBORO MUNICIPAL AIRPORT,6.8
413,AL,ANNISTON METROPOLITAN ARPT,9.0
414,AL,BESSEMER AIPORT,9.0
415,AL,BIRMINGHAM INTERNATIONAL AIRP,9.0
416,AL,GADSDEN MUNI,9.0
417,AL,GADSDEN MUNICIPAL AIRPORT,9.0
418,AL,MERKEL FLD SYLACAUGA MUNI,9.9
419,AL,BIRMINGHAM,10.0
420,AL,SHELBY COUNTY AIRPORT,10.0
421,AL,TUSCALOOSA RGNL,10.9
422,AL,TUSCALOOSA MUNICIPAL ARPT,10.9
423,AL,THOMAS C RUSSELL FLD,11.5
424,AL,THOMAS C RUSSELL FLD ARPT,11.5
425,AL,MAC CRENSHAW MEMORIAL AIRPORT,12.0
426,AL,DEMOPOLIS MUNICIPAL AIRPORT,13.1
427,AL,MAXWELL AFB,13.8
428,AL,MAXWELL AFB AIRPORT,13.8
429,AL,CAIRNS AAF,14.0
430,AL,CAIRNS ARMY AIRFIELD (FORT RU,14.0
431,AL,SHELL AHP,14.0
432,AL,LOWE AHP,14.0
433,AL,LOWE ARMY HELIPORT (FORT RUCK,14.0
434,AL,WEEDON FIELD AIRPORT,15.1
435,AL,HANCHEY AHP,15.3
436,AL,HANCHEY ARMY HELIPORT (FORT R,15.3
437,AL,CRAIG FLD,15.8
438,AL,TROY MUNI,16.0
439,AL,TROY MUNICIPAL AIRPORT,16.0
440,AL,MONTGOMERY RGNL (DANNELLY FD),16.0
441,AL,DOTHAN RGNL,16.0
442,AL,DOTHAN REGIONAL AIRPORT,16.0
443,AL,FLORALA MUNI,17.1
444,AL,ANDALUSIA OPP,18.0
445,AL,ANDALUSIA-OPP MUNICIPAL AIRPO,18.0
446,AL,MOBILE REGIONAL AIRPORT,19.9
447,AL,MIDDLETON FLD,19.9
448,AL,MIDDLETON FIELD AIRPORT,19.9
449,AL,WEEKS BAY RESERVE,20.1
450,AL,COAST GUARD SECTOR,20.5
451,AL,MOBILE STATE DOCKS,20.8
452,AL,AUBURN OPELIKA ROBE,21.0
453,AL,ABRN-OPLKA R G PITTS ARPT,21.0
454,AL,MOBILE DOWNTOWN,21.0
455,AL,MOBILE DOWNTOWN AIRPORT,21.0
456,AL,JACK EDWARDS AIRPORT,21.2
457,AL,FAIRHOPE/SONNY CALLAHAN AIRPO,21.2
458,AL,H L SONNY CALLAHAN AIRPORT,21.2
459,AL,CEDAR POINT,21.9
460,AL,BON SECOUR,22.3
461,AL,VIOSCA KNOLL 768             ,33.8
462,AL,VIOSCA KNOLL 768 OIL PLATFORM,33.8
463,AL,MIDDLE BAY LIGHT,46.9
464,AR,DEXTER B FLORENCE MEM FLD AP,-57.1
465,AR,LITTLE ROCK ADAMS FIELD,-57.1
466,AR,HARRISON FAA AP,-57.1
467,AR,NEWPORT MCAF,-57.1
468,AR,PINE BLUFF,-57.1
469,AR,EL DORADO GOODWIN FIELD,-57.1
470,AR,FAYETTEVILLE DRAKE FIELD,-57.1
471,AR,FLIPPIN,-57.1
472,AR,MOUNT IDA,-57.1
473,AR,WALNUT RIDGE MUNICIPAL ARPT,-57.1
474,AR,BATESVILLE 8 WNW             ,-57.1
475,AR,ROGERS MUNI CARTER F,-6.0
476,AR,ROGERS MUNI-CARTER FLD APT,-6.0
477,AR,BOONE COUNTY AIRPORT,-6.0
478,AR,SPRINGDALE MUNI,-5.8
479,AR,SPRINGDALE MUNICIPAL ARPT,-5.8
480,AR,BENTONVILLE MUNI THA,-5.8
481,AR,BENTONVILLE MUNI/LOUIS M THAD,-5.8
482,AR,OZARK RGNL,-5.1
483,AR,OZARK REGIONAL AIRPORT,-5.1
484,AR,NW ARKANSAS RGNL,-4.0
485,AR,NW ARKANSAS REGIONAL ARPT,-4.0
486,AR,SMITH FLD,-4.0
487,AR,SMITH FIELD AIRPORT,-4.0
488,AR,DRAKE FLD,-2.9
489,AR,DRAKE FIELD AIRPORT,-2.9
490,AR,FLIPPIN (AWOS)               ,-2.9
491,AR,MARION COUNTY RGNL AIRPORT,-2.9
492,AR,WALNUT RIDGE RGNL,-2.0
493,AR,WALNUT RIDGE REGIONAL ARPT,-2.0
494,AR,BLYTHEVILLE MUNI,-0.9
495,AR,BLYTHEVILLE MUNI AIRPORT,-0.9
496,AR,CLINTON MUNI,-0.4
497,AR,CLINTON MUNICIPAL AIRPORT,-0.4
498,AR,NEWPORT MUNI,0.0
499,AR,NEWPORT MUNICIPAL AIRPORT,0.0
500,AR,MENA INTERMOUNTAIN,0.7
501,AR,MENA INTERMOUNTAIN MUNICIPAL,0.7
502,AR,SEARCY MUNI,1.0
503,AR,SEARCY MUNICIPAL AIRPORT,1.0
504,AR,BATESVILLE RGNL,1.0
505,AR,BATESVILLE REGIONAL ARPT,1.0
506,AR,WEST MEMPHIS MUNI,1.9
507,AR,WEST MEMPHIS MUNICIPAL APT,1.9
508,AR,ADAMS FIELD AIRPORT,1.9
509,AR,RUSSELLVILLE RGNL,3.0
510,AR,MUNICIPAL AIRPORT,3.0
511,AR,FORT SMITH REGIONAL AIRPORT,3.0
512,AR,LITTLE ROCK AFB,3.4
513,AR,LITTLE ROCK AFB AIRPORT,3.4
514,AR,MEMORIAL FLD,3.9
515,AR,MEMORIAL FIELD AIRPORT,3.9
516,AR,GRIDER FLD,5.0
517,AR,GRIDER FIELD AIRPORT,5.0
518,AR,HARRELL FLD,5.0
519,AR,HARRELL FIELD AIRPORT,5.0
520,AR,MONTCELO MUNI/ELLIS FLD AP,6.1
521,AR,J L HELMS SEVIER CO,6.1
522,AR,J.L. HELMS SEVIER CO ARPT,6.1
523,AR,S. AR RGNL AT GDWIN FLD AP,7.0
524,AR,TEXARKANA REGIONAL AIRPORT-WE,8.1
525,AR,DEXTER B FLORENCE MEM FLD,10.0
526,AR,DEXTER B FLORENCE MEMORIAL FI,10.0
527,AR,JONESBORO MUNI,14.0
528,AR,JONESBORO MUNICIPAL ARPT,14.0
529,AR,ARKANSAS INTL,15.8
530,AR,ARKANSAS INTERNATIONAL AIRPOR,15.8
531,AR,STUTTGART MUNI,19.0
532,AR,STUTTGART MUNICIPAL ARPT,19.0
533,AZ,HOLBROOK 17 ESE              ,-57.1
534,AZ,BOWIE 23 SSE                 ,-57.1
535,AZ,FLAGSTAFF PULLIAM ARPT,-57.1
536,AZ,FORT HUACHUCA,-57.1
537,AZ,YUMA PROVING GROUND,-57.1
538,AZ,DAVIS MONTHAN AFB,-57.1
539,AZ,TUCSON WBO,-57.1
540,AZ,AMADO 23 W                   ,-57.1
541,AZ,TSAILE 1 SSW                 ,-57.1
542,AZ,PHOENIX 7 S                  ,-57.1
543,AZ,CAMERON 25 SSE               ,-57.1
544,AZ,CAMP VERDE 3 N               ,-57.1
545,AZ,COOLIDGE 5 W                 ,-57.1
546,AZ,PAGE 9 WSW                   ,-57.1
547,AZ,AJO 29 S                     ,-57.1
548,AZ,KAYENTA 16 WSW               ,-57.1
549,AZ,HEBER 3 SE                   ,-57.1
550,AZ,LAKE HAVASU CITY 19 SE       ,-57.1
551,AZ,GILA BEND 3 ENE              ,-57.1
552,AZ,DOUGLAS MUNICIPAL AP,-57.1
553,AZ,LITCHFIELD PARK NAF,-57.1
554,AZ,PAYSON,-57.1
555,AZ,TUCSON INTERNATIONAL AP,-57.1
556,AZ,PHOENIX SKY HARBOR INTL AP,-57.1
557,AZ,PRESCOTT MUNICIPAL AP,-57.1
558,AZ,WINSLOW MUNICIPAL AP,-57.1
559,AZ,YUMA INTL ARPT,-57.1
560,AZ,GILA BEND AF AUX AIRPORT,-57.1
561,AZ,COLORADO CITY MUNI AIRPORT,-57.1
562,AZ,TUCSON 11 W                  ,-57.1
563,AZ,ELGIN 5 S                    ,-57.1
564,AZ,YUMA 27 ENE                  ,-57.1
565,AZ,WILLIAMS 35 NNW              ,-57.1
566,AZ,GRAND CANYON NATL P,-9.9
567,AZ,GRAND CANYON NATL PARK APT,-9.9
568,AZ,FLAGSTAFF AIRPORT,-7.1
569,AZ,FLAGSTAFF PULLIAM AIRPORT,-7.1
570,AZ,WINDOW ROCK,-5.1
571,AZ,WINDOW ROCK AIRPORT,-5.1
572,AZ,H A CLARK MEMORIAL FIELD AIRP,-2.2
573,AZ,SHOW LOW RGNL,1.4
574,AZ,SHOW LOW MUNICIPAL AIRPORT,1.4
575,AZ,FLAGSTAFF,1.9
576,AZ,WINSLOW-LINDBERGH REGIONAL AI,1.9
577,AZ,ST JOHNS INDUSTRIAL,1.9
578,AZ,ST JOHNS INDUS AIRPK ARPT,1.9
579,AZ,ERNEST A. LOVE FIELD ARPT,9.0
580,AZ,NOGALES INTL,16.0
581,AZ,NOGALES INTERNATIONAL ARPT,16.0
582,AZ,BISBEE DOUGLAS INTL,17.1
